Category,Product Name,Product Price,Rating,Discount,Past Details,Image URL,Shipped From,Sold By
Smartphones,Results,"14,499",3.9 out of 5 stars,(19% off),1K+ bought in past month,https://m.media-amazon.com/images/I/81LJaRu0cZL._AC_UY218_.jpg,Amazon,Darshita Etel
Smartphones,"Samsung Galaxy M15 5G Prime Edition (Celestial Blue,8GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update","19,999",3.6 out of 5 stars,(31% off),M.R.P:,https://m.media-amazon.com/images/I/818pYqcA7BL._AC_UY218_.jpg,Amazon,STPL Exclusive Online
Smartphones,"Samsung Galaxy M55s 5G (Coral Green,8GB RAM,128GB Storage) | 50MP Triple Cam| 5000mAh Battery| Snapdragon 7 Gen 1 | 4 Gen. OS Upgrade & 5 Year Security Update| Super AMOLED+ Display| Without Charger","10,999",4.0 out of 5 stars,(27% off),400+ bought in past month,https://m.media-amazon.com/images/I/61LGDAZD+wL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Smartphones,"Lava Storm 5G (Thunder Black, 8GB RAM, 128GB ROM) | Powerful MediaTek Dimensity 6080 Processor | 50MP Ultrawide Rear+16MP Front Camera |No Bloatware | Segment's Most Affordable 5G Smartphone on Amazon","12,999",3.9 out of 5 stars,(24% off),M.R.P:,https://m.media-amazon.com/images/I/81scQ7qlPuL._AC_UY218_.jpg,Amazon,Darshita Etel
Smartphones,"Samsung Galaxy M15 5G Prime Edition (Blue Topaz,6GB RAM,128GB Storage) | Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+ | 4 Gen. OS Upgrade & 5 Year Security Update","12,999",3.9 out of 5 stars,(24% off),500+ bought in past month,https://m.media-amazon.com/images/I/81LJaRu0cZL._AC_UY218_.jpg,Amazon,Darshita Etel
Smartphones,"Samsung Galaxy M15 5G Prime Edition (Celestial Blue,6GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update","7,999",3.9 out of 5 stars,(43% off),M.R.P:,https://m.media-amazon.com/images/I/913EiorAS0L._AC_UY218_.jpg,Amazon,STPL Exclusive Online
Smartphones,"Samsung Galaxy M14 4G (Sapphire Blue,4GB,64GB) | 50MP Triple Cam | 5000mAh Battery | Snapdragon 680 Processor | 2 Gen. OS Upgrade & 4 Year Security Update | 8GB RAM with RAM Plus | Without Charger","16,998",4.2 out of 5 stars,(15% off),4K+ bought in past month,https://m.media-amazon.com/images/I/71kIK8UyA3L._AC_UY218_.jpg,Amazon,Darshita Etel
Smartphones,"realme NARZO 70 Turbo 5G (Turbo Purple,6GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design","12,999",3.9 out of 5 stars,(24% off),M.R.P:,https://m.media-amazon.com/images/I/81oKOk65TgL._AC_UY218_.jpg,Amazon,Darshita Etel
Smartphones,"Samsung Galaxy M15 5G Prime Edition (Stone Grey,6GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update","24,999",4.2 out of 5 stars,(7% off),3K+ bought in past month,https://m.media-amazon.com/images/I/61g1pqSjAhL._AC_UY218_.jpg,Amazon,Darshita Electronics
Smartphones,"Oneplus Nord CE4 (Dark Chrome, 8GB RAM, 256GB Storage)","16,459",3.8 out of 5 stars,(22% off),M.R.P:,https://m.media-amazon.com/images/I/81v1PFBahYL._AC_UY218_.jpg,Amazon,THE COS THETA COMPANY
Smartphones,"realme 13 5G (Speed Green, 8GB RAM, 256GB Storage) | Expandable Upto 2TB | Up to 18GB Dynamic RAM | 50MP AI Dual Camera | 6.72"" AMOLED Display | 45W Ultra Charging | Dimensity 6300 Processor","21,999",4.6 out of 5 stars,(12% off),1K+ bought in past month,https://m.media-amazon.com/images/I/71+QToFrHXL._AC_UY218_.jpg,Amazon,Darshita Mobiles
Smartphones,"Redmi Note 14 5G (Titan Black, 8GB RAM 256GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits Segment Brightest 120Hz AMOLED | 50MP Sony LYT 600 OIS+EIS Triple Camera","99,999",3.9 out of 5 stars,(17% off),M.R.P:,https://m.media-amazon.com/images/I/61aAX3Hi49L._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Smartphones,"TECNO Phantom V Fold 2 (Rippling Blue, 12GB+512GB) | Strongest Fold Ever | Largest Battery in Fold Segment-5750mAh | Segment Largest Display | Rear - Triple 50MP Camera with OIS | 70W Fast Charger","11,999",3.9 out of 5 stars,(25% off),2K+ bought in past month,https://m.media-amazon.com/images/I/81oKOk65TgL._AC_UY218_.jpg,Amazon,Darshita Etel
Smartphones,"Samsung Galaxy M15 5G Prime Edition (Stone Grey,4GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update","14,499",3.9 out of 5 stars,(19% off),M.R.P:,https://m.media-amazon.com/images/I/81scQ7qlPuL._AC_UY218_.jpg,Amazon,Darshita Etel
Smartphones,"Samsung Galaxy M15 5G Prime Edition (Blue Topaz,8GB RAM,128GB Storage) | Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+ | 4 Gen. OS Upgrade & 5 Year Security Update","14,499",3.6 out of 5 stars,(19% off),4K+ bought in past month,https://m.media-amazon.com/images/I/81LJaRu0cZL._AC_UY218_.jpg,Amazon,Darshita Etel
Smartphones,"Samsung Galaxy M15 5G Prime Edition (Celestial Blue,8GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update","19,999",4.1 out of 5 stars,(31% off),M.R.P:,https://m.media-amazon.com/images/I/81kMtUwWPhL._AC_UY218_.jpg,Amazon,STPL Exclusive Online
Smartphones,"Samsung Galaxy M55s 5G (Thunder Black,8GB RAM,128GB Storage) | 50MP Triple Cam| 5000mAh Battery| Snapdragon 7 Gen 1 | 4 Gen. OS Upgrade & 5 Year Security Update| Super AMOLED+ Display| Without Charger","29,998",4.0 out of 5 stars,(25% off),2K+ bought in past month,https://m.media-amazon.com/images/I/71yVqjq0aeL._AC_UY218_.jpg,Amazon,Darshita Etel
Smartphones,"HONOR 200 5G (Black, 8GB + 256GB) | 6.7-inch AMOLED Quad-Curved Display | Dual OIS 50MP + 50MP + 12MP Camera | 50MP Selfie Camera | AI-Powered MagicOS 8.0 | Without Charger","9,299",3.3 out of 5 stars,(43% off),M.R.P:,https://m.media-amazon.com/images/I/51jv8q+sMdL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Smartphones,"Lava Blaze 5G (Glass Blue, 6GB RAM, UFS 2.2 128GB Storage)| Segment's Most Affordable 5G Smartphone| Ultrafast Mediatek D700 | 50MP AI Triple Camera | 5000 mAh | 6.5"" HD+ 90 Hz Display | Clean UI","19,998",4.3 out of 5 stars,(20% off),300+ bought in past month,https://m.media-amazon.com/images/I/71K-b677qzL._AC_UY218_.jpg,Amazon,Darshita Etel
Smartphones,"HONOR 200 Lite 5G (Cyan Lake, 8GB+256GB) | 108MP & 50MP Spotlight Portrait Camera | Flagship AMOLED Display | 3240Hz PWM Dimming | AI-Powered MagicOS 8.0 | Charger in The Box","21,800",4.3 out of 5 stars,(16% off),M.R.P:,https://m.media-amazon.com/images/I/81wW3hnaFbL._AC_UY218_.jpg,Amazon,SPRINT MOBILEHUB
Smartphones,"Nothing Phone (2a) 5G (Black, 8GB RAM, 128GB Storage) | 6.7"" AMOLED Display | 50MP (OIS) + 50 MP | 32 MP Front | Mediatek Dimensity 7200 Pro Processor | Glyph Interface | 45 W Charging 100% in 59 mins","22,998",4.1 out of 5 stars,(12% off),More Buying Choices,https://m.media-amazon.com/images/I/7191m+RPB4L._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,Results,"33,990",3.9 out of 5 stars,(33% off),200+ bought in past month,https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","49,990",3.9 out of 5 stars,(25% off),M.R.P:,https://m.media-amazon.com/images/I/517m2WrmJxL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop (Windows11Home/16GB RAM/512GB SSD/MSO) AL15-52H, 39.62cm (15.6"") IPS Full HD, Backlit Keyboard, Pure Silver, 1.7KG","56,990",4.6 out of 5 stars,(37% off),100+ bought in past month,https://m.media-amazon.com/images/I/71jG+e7roXL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","23,580",3.7 out of 5 stars,(53% off),M.R.P:,https://m.media-amazon.com/images/I/714KND42UKL._AC_UY218_.jpg,Amazon,GADGETRON
Laptops,"HP Laptop 255 G9 (2024), AMD Athlon Silver 3050U - (8GB/256GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg/MS Office 2021","23,990",3.2 out of 5 stars,(44% off),5K+ bought in past month,https://m.media-amazon.com/images/I/712vCLbaXGL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN","46,490",4.2 out of 5 stars,(29% off),M.R.P:,https://m.media-amazon.com/images/I/71PDI41ZbxL._AC_UL320_.jpg,Amazon,VTM_SLP
Laptops,Highly rated,"31,990",4.0 out of 5 stars,(46% off),100+ bought in past month,https://m.media-amazon.com/images/I/81+SKGgJ9yL._AC_UL320_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,More results,"69,490",4.0 out of 5 stars,(27% off),M.R.P:,https://m.media-amazon.com/images/I/71FJAKQJ0JL._AC_UL320_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11 SL/Iron Grey/1.65 Kg), Grey","39,990",4.1 out of 5 stars,(32% off),More Buying Choices,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UL320_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","39,490",5.0 out of 5 stars,(42% off),200+ bought in past month,https://m.media-amazon.com/images/I/41U0mEisocL._AC_UY218_.jpg,Amazon,SINCE 2012
Laptops,"DELL Latitude 3540 (2024) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11) Thin and Light Business Laptop/15.6"" HD Display/Smoky Black/1.8 kg/MS Office 2021","35,700",3.7 out of 5 stars,(39% off),M.R.P:,https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UY218_.jpg,Amazon,As.Enterprises....
Laptops,"HP Laptop 255 G9 (2024), AMD Ryzen 3 3250U Dual Core - (8GB/512GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg/MS Office 2021","32,990",3.1 out of 5 stars,(53% off),| Based on star rating and number of customer ratings,https://m.media-amazon.com/images/I/61SCc8dH-8L._AC_UY218_.jpg,Amazon,CMPL ONLINE
Laptops,"HP Laptop 245 G9 (2024), AMD Ryzen 3 3250U Dual Core - (8GB/512GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/14 (35.56cm)/Silver/1.47 kg/","27,550",4.5 out of 5 stars,(63% off),100+ bought in past month,https://m.media-amazon.com/images/I/71cbbGm02pL._AC_UY218_.jpg,Amazon,GLOBAL WORLD DEALS
Laptops,"HP 15s, 12th Gen Intel Core i5-1235U, 8GB DDR4, 512GB SSD, 15.6-inch(39.6cm), Anti-Glare, FHD Laptop, Intel UHD Graphics, Backlit KB, 720p HD Camera (Win 11, Office 21, Silver, 1.69kg) fq5329TU","28,990",3.8 out of 5 stars,(37% off),M.R.P:,https://m.media-amazon.com/images/I/71-S1RFX3qL._AC_UY218_.jpg,Amazon,GADGETRON
Laptops,"Dell Alienware m18 R1 Gaming Laptop,Intel Core i9-13900HX/32GB/1TB SSD/NVIDIA RTX 4080 12GB GDDR6/18.0""(45.72cm) QHD 165Hz/Win 11+MSO'21/15 Month McAfee/Backlit KB per-Key AlienFX/Dark Metallic Moon","46,490",4.2 out of 5 stars,(29% off),100+ bought in past month,https://m.media-amazon.com/images/I/71PDI41ZbxL._AC_UY218_.jpg,Amazon,VTM_SLP
Laptops,"Lenovo V15 G4 (2024), AMD Ryzen 3 7320U Quad Core - (8GB/512GB SSD/AMD Radeon Graphics/Windows 11 PRO) Thin and Light Business Laptop/15.6"" FHD Display/Arctic Grey/1.57 kg/MS Office 2021","3,67,905",3.5 out of 5 stars,(22% off),M.R.P:,https://m.media-amazon.com/images/I/71BxDqP7L5L._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN","27,990",3.4 out of 5 stars,(72% off),M.R.P:,https://m.media-amazon.com/images/I/51ICwoX0f2L._AC_UY218_.jpg,Amazon,SellerNow
Laptops,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop","39,990",4.1 out of 5 stars,(32% off),200+ bought in past month,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU","35,990",3.6 out of 5 stars,(26% off),M.R.P:,https://m.media-amazon.com/images/I/61-Y-eWXqtL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray","38,490",4.0 out of 5 stars,(25% off),50+ bought in past month,https://m.media-amazon.com/images/I/51ksgjS71zL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Acer Aspire Lite 12th Gen Intel Core i7-1255U Premium Metal Laptop (Win11 Home/16GB RAM/512GB SSD/MS Office) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Backlit Keyboard, Steel Gray, 1.59KG","39,990",3.8 out of 5 stars,(49% off),M.R.P:,https://m.media-amazon.com/images/I/51dfURQWjOL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop (Windows11Home/16GB RAM/512GB SSD/MSO) AL15-52H, 39.62cm (15.6"") IPS Full HD, Backlit Keyboard, Pure Silver, 1.7KG","46,990",3.8 out of 5 stars,(37% off),200+ bought in past month,https://m.media-amazon.com/images/I/61C0ewGxKJL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Acer Aspire Lite AMD Ryzen 7-5700U Processor Premium Laptop (16GB RAM/1TB SSD/Win11 Home/AMD Radeon Graphics) AL15-41, 39.62cm (15.6"") Full HD Display, Multi Color Backlit Keyboard, Steel Gray, 1.59KG","49,990",3.9 out of 5 stars,(25% off),M.R.P:,https://m.media-amazon.com/images/I/517m2WrmJxL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop","42,990",4.5 out of 5 stars,(40% off),100+ bought in past month,https://m.media-amazon.com/images/I/61C0ewGxKJL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Lenovo ThinkPad E14 Intel Core i7 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Backlit Keyboard/FPR/Arctic Grey/1Y Onsite/1.41 kg), 21JKS1FT00","35,990",3.6 out of 5 stars,(26% off),M.R.P:,https://m.media-amazon.com/images/I/61-Y-eWXqtL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,Need help?,"86,530",1.0 out of 5 stars,(27% off),M.R.P:,https://m.media-amazon.com/images/I/41QnGPxMaeL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Kitchen,Results,"6,499",4.3 out of 5 stars,(39% off),2K+ bought in past month,https://m.media-amazon.com/images/I/81Cir3akReL._AC_UL320_.jpg,Amazon,RetailEZ Pvt Ltd
Kitchen,Highly rated,"6,290",4.3 out of 5 stars,(16% off),M.R.P:,https://m.media-amazon.com/images/I/71dzAT5xIqL._AC_UL320_.jpg,Amazon,DAWNTECH ELECTRONICS PRIVATE LIMITED
